replay_num,replay_link                                                                              ,player_p1         ,player_p2         ,switch_p1a,switch_p2a,winner,turns
2640      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801177                               ,tefoshark         ,GShed             ,Tyranitar ,Regirock  ,2     ,28
2639      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801175                               ,GShed             ,tefoshark         ,Salamence ,Zapdos    ,1     ,52
2644      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801236                               ,wiilink100        ,Rainer2424        ,Tyranitar ,Metagross ,2     ,35
2643      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801210?p2                            ,MeatballSpaghetti ,mkizzy            ,Salamence ,Swampert  ,2     ,27
2642      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801209                               ,mkizzy            ,MeatballSpaghetti ,Zapdos    ,Suicune   ,1     ,21
2646      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801235                               ,GreenCatKid       ,thestonewallsmith ,Suicune   ,Zapdos    ,1     ,17
2645      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801238                               ,Rainer2424        ,wiilink100        ,Tyranitar ,Celebi    ,1     ,37
2641      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801207?p2                            ,MeatballSpaghetti ,mkizzy            ,Medicham  ,Jynx      ,1     ,27
2647      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801237                               ,GreenCatKid       ,thestonewallsmith ,Skarmory  ,Metagross ,1     ,47
2648      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801285                               ,moistmania        ,Jnho              ,Zapdos    ,Tyranitar ,2     ,41
2649      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801289                               ,moistmania        ,Jnho              ,Vaporeon  ,Metagross ,2     ,13
2651      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801284                               ,salto             ,troglodyte480     ,Jolteon   ,Blissey   ,1     ,94
2652      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801290                               ,salto             ,troglodyte480     ,Zapdos    ,Metagross ,1     ,31
2650      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801281                               ,salto             ,troglodyte480     ,Jolteon   ,Wailord   ,2     ,49
2653      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801314                               ,SlamonBBQ         ,bandoodee         ,Zapdos    ,Salamence ,1     ,40
2655      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801263                               ,Svejk97           ,G3neralR3van      ,Zapdos    ,Tyranitar ,2     ,19
2654      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801317                               ,bandoodee         ,SlamonBBQ         ,Zapdos    ,Zapdos    ,2     ,58
2656      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801264                               ,G3neralR3van      ,Svejk97           ,Tyranitar ,Skarmory  ,1     ,28
2658      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801308                               ,moowee            ,Donly Phans       ,Tyranitar ,Vaporeon  ,2     ,19
2663      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801342                               ,SerpentZero       ,Attalyn           ,Medicham  ,Skarmory  ,2     ,24
2659      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801051                               ,tahat squared     ,beeoi             ,Metagross ,Tyranitar ,1     ,63
2657      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801301                               ,moowee            ,Donly Phans       ,Salamence ,Vaporeon  ,2     ,20
2660      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801053                               ,tahat squared     ,beeoi             ,Metagross ,Forretress,1     ,27
2662      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801300                               ,boshinator6       ,jank_city.mp4     ,Hariyama  ,Metagross ,2     ,27
2661      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801294                               ,boshinator6       ,jank_city.mp4     ,Tyranitar ,Metagross ,2     ,25
2664      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801345                               ,SerpentZero       ,Attalyn           ,Tyranitar ,Suicune   ,1     ,36
2665      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801347                               ,SerpentZero       ,Attalyn           ,Snorlax   ,Metagross ,2     ,23
2666      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801206                               ,Halbert Simpson   ,Dit Dus           ,Tyranitar ,Zapdos    ,2     ,27
2668      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801223                               ,hipimochi         ,Axselo            ,Suicune   ,Flygon    ,1     ,24
2667      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801208                               ,Halbert Simpson   ,Dit Dus           ,Milotic   ,Slaking   ,2     ,21
2670      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801230                               ,hipimochi         ,Axselo            ,Tyranitar ,Jolteon   ,2     ,39
2671      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801256                               ,KingWafl          ,Mr Bluestacks     ,Tyranitar ,Jynx      ,1     ,23
2669      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801226                               ,Axselo            ,hipimochi         ,Jolteon   ,Medicham  ,1     ,37
2674      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801202                               ,Derevien          ,xgermx            ,Medicham  ,Suicune   ,1     ,38
2672      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801258                               ,Mr Bluestacks     ,KingWafl          ,Venusaur  ,Tyranitar ,1     ,28
2673      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801260                               ,KingWafl          ,Mr Bluestacks     ,Salamence ,Hariyama  ,1     ,30
2676      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801322                               ,Xamvant           ,UponLink          ,Suicune   ,Slaking   ,1     ,24
2675      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801205                               ,Derevien          ,xgermx            ,Glalie    ,Suicune   ,1     ,21
2678      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801327                               ,Xamvant           ,UponLink          ,Salamence ,Zapdos    ,1     ,35
2677      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801325                               ,Xamvant           ,UponLink          ,Glalie    ,Tyranitar ,2     ,24
2679      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801379                               ,AutumnWailord     ,witgiz            ,Tyranitar ,Zapdos    ,2     ,28
2680      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801380                               ,AutumnWailord     ,witgiz            ,Regirock  ,Aerodactyl,2     ,22
2682      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-801393                               ,MagsAndMiles      ,Gonzasaurio 50    ,Zangoose  ,Slaking   ,2     ,17
