winner_from_rounds,winner_from_importer,game_list     ,other_player ,sheet_name
cisconduct        ,.alig.              ,0631 0632     ,.alig.       ,round 1
felizelise        ,thegreatest23       ,1866 1867 1868,thegreatest23,round 3
